Image,X,Y,Z,Score,longitude,latitude,dTime
PR_20100604_071748_211_LC16.tif,-481.72526330275,94.0509636192993,56.4804058882131,0.9768638,147.224632303093,-43.6156533370939,3284.376
PR_20100604_071750_242_LC16.tif,-483.168229102906,93.4251748310115,56.6631845835325,0.9764696,147.224614426821,-43.6156589685813,3286.407
PR_20100604_071751_221_LC16.tif,-483.122781232804,92.899695892905,56.5478222862032,0.9760977,147.224614989368,-43.6156636981924,3287.386
PR_20100604_071752_254_LC16.tif,-483.102540840002,92.4627911375132,56.6464671952957,0.98969483,147.22461523972,-43.6156676305738,3288.419
PR_20100604_071756_228_LC16.tif,-485.387728504869,91.2116383117061,56.6001935979615,0.9707555,147.224586929286,-43.6156788901093,3292.393
PR_20100604_071757_236_LC16.tif,-485.478046221232,90.9351929159266,56.4624538440504,0.9765203,147.224585810166,-43.6156813782016,3293.401
PR_20100604_071758_218_LC16.tif,-485.655158030395,90.5582135466651,56.5099431602969,0.98965925,147.224583615735,-43.615684771095,3294.383
PR_20100604_071759_249_LC16.tif,-485.944220965112,90.2702883807407,56.3189250819311,0.9282465,147.224580034512,-43.6156873623816,3295.414
PR_20100604_071825_213_LC16.tif,-486.844611212917,94.6135625578368,56.3134419633493,0.86844987,147.224568884221,-43.615648270085,3321.378
PR_20100604_071826_209_LC16.tif,-486.800642262747,94.8613187818879,56.3545640630388,0.97877353,147.224569429139,-43.6156460401798,3322.374
PR_20100604_071827_212_LC16.tif,-486.707847743775,95.0239351227795,56.2567397770361,0.973319,147.22457057884,-43.6156445766095,3323.377
PR_20100604_071827_212_LC16.tif,-486.618787484515,93.9511219151025,56.2342163842849,0.9665854,147.224571681169,-43.6156542325401,3323.377
PR_20100604_071828_216_LC16.tif,-486.565552756202,94.1258639102741,56.3383435825406,0.96820307,147.224572340807,-43.6156526598068,3324.381
PR_20100604_071829_219_LC16.tif,-486.396205155299,94.3662646044624,56.4135344542361,0.8943062,147.224574438931,-43.6156504961871,3325.384
PR_20100604_071833_206_LC16.tif,-483.485064081941,95.4372780226815,56.4358984541902,0.9831949,147.224610503611,-43.6156408584088,3329.371
PR_20100604_071834_221_LC16.tif,-483.62519816454,95.6562482288973,56.2130709623057,0.9655623,147.224608767802,-43.615638887473,3330.386
PR_20100604_071852_219_LC16.tif,-476.795376579698,98.3662902663645,57.3974455738491,0.8228711,147.224693379194,-43.6156145000988,3348.384
PR_20100604_071853_223_LC16.tif,-476.764501191576,98.8242370551031,57.2794119194301,0.9673873,147.224693762087,-43.6156103783612,3349.388
PR_20100604_071854_226_LC16.tif,-476.688988318388,99.253318993179,57.1020999244937,0.9472428,147.224694697931,-43.6156065164506,3350.391
PR_20100604_071855_256_LC16.tif,-476.679670512477,99.6464852362939,57.1257472587452,0.92208517,147.224694813708,-43.6156029777575,3351.421
PR_20100604_072013_232_LC16.tif,-478.83249533541,99.5472770158338,56.5849954101248,0.9770901,147.224668144071,-43.6156038693019,3429.397
PR_20100604_072014_236_LC16.tif,-478.731638821611,99.0654393953633,56.2553200870296,0.959812,147.224669393072,-43.615608206154,3430.401
PR_20100604_072028_231_LC16.tif,-483.393352635152,95.1088011761665,56.4315093695266,0.98159444,147.224611639455,-43.6156438149294,3444.396
PR_20100604_072028_231_LC16.tif,-482.992530303022,96.279313344595,56.5065277259297,0.8857658,147.224616605956,-43.6156332799758,3444.396
PR_20100604_072029_255_LC16.tif,-483.403230553911,94.5943875676598,56.3620176325272,0.98276937,147.224611516626,-43.6156484449109,3445.42
PR_20100604_072029_255_LC16.tif,-482.779981883605,95.6516813317649,56.6122020462182,0.9710687,147.224619238482,-43.6156389291256,3445.42
PR_20100604_072030_238_LC16.tif,-483.415474936273,93.9250051034601,56.687958588666,0.99245983,147.224611364343,-43.6156544696906,3446.403
PR_20100604_072030_238_LC16.tif,-482.573029665252,94.9351806312704,56.5922051058745,0.8890875,147.224621801603,-43.6156453781358,3446.403
PR_20100604_072048_246_LC16.tif,-487.570493682332,90.3503029716822,56.109238977094,0.9599907,147.224559888022,-43.6156866411463,3464.411
PR_20100604_072105_225_LC16.tif,-486.0554092272,90.3206061998862,56.533025777638,0.97709113,147.224578657137,-43.6156869094227,3481.39
PR_20100604_072106_228_LC16.tif,-486.167687521762,90.7358409041963,56.4746045204835,0.982402,147.224577266586,-43.6156831720228,3482.393
PR_20100604_072107_232_LC16.tif,-486.185090071511,91.1648790139615,56.6077485370711,0.84420955,147.224577051386,-43.6156793104471,3483.397
PR_20100604_072120_281_LC16.tif,-483.421109331762,95.0393817869181,56.4188646114296,0.97495633,147.224611295538,-43.6156444397217,3496.446
