index,Image,X,Y,Z,Score,longitude,latitude,dTime,outtime
48,PR_20100604_072107_232_LC16.tif,-486.185090071511,91.16487901396151,56.6077485370711,0.84420955,147.224577051386,-43.6156793104471,3483.397,776.0829999999996
49,PR_20100604_072120_281_LC16.tif,-483.421109331762,95.03938178691809,56.418864611429605,0.97495633,147.224611295538,-43.6156444397217,3496.446,789.1319999999996
50,PR_20100604_072121_234_LC16.tif,-483.33899911767304,95.77582334777522,56.4900490731126,0.97514504,147.224612313392,-43.615637811420896,3497.3990000000003,790.085
51,PR_20100604_072135_276_LC16.tif,-480.05470628635203,98.9067987769334,56.4088007142453,0.90891635,147.224653002553,-43.615609633149994,3511.441,804.1269999999995
52,PR_20100604_072136_252_LC16.tif,-479.840570860219,99.6389913422454,55.979118322827205,0.9033948,147.224655655947,-43.615603043177,3512.417,805.1029999999996
53,PR_20100604_072159_279_LC16.tif,-472.288249130915,106.303915844945,57.86322473425321,0.9315549999999999,147.224749221168,-43.6155430602429,3535.4440000000004,828.1300000000001
54,PR_20100604_072200_286_LC16.tif,-472.068065319908,106.61354386615801,57.8249855791632,0.9601867000000001,147.224751949109,-43.615540273570396,3536.4509999999996,829.1369999999993
55,PR_20100604_072201_232_LC16.tif,-471.896511722338,106.902198598741,57.8055852785271,0.99073225,147.224754074593,-43.615537675637505,3537.397,830.0829999999996
56,PR_20100604_072202_247_LC16.tif,-471.775278275047,107.37119125019899,57.6802098224821,0.9774185,147.22475557686002,-43.615533454538294,3538.4120000000003,831.098
57,PR_20100604_072203_239_LC16.tif,-471.484939120096,108.00019173400699,57.506201834739294,0.9711511,147.224759174173,-43.6155277933931,3539.4040000000005,832.0900000000001
58,PR_20100604_072304_263_LC16.tif,-479.850915963406,100.239755164364,56.36302435959371,0.9414415,147.224655528323,-43.6155976359859,3600.428,893.1139999999996
59,PR_20100604_072305_241_LC16.tif,-480.01825008664804,99.63321533631121,56.24802088615021,0.8851541999999999,147.224653454822,-43.6156030950496,3601.406,894.0919999999996
60,PR_20100604_072321_250_LC16.tif,-485.76988808997703,94.54733420915909,56.486961465540894,0.93596154,147.22458219801902,-43.615648866875894,3617.415,910.1009999999997
61,PR_20100604_072322_246_LC16.tif,-485.692005149154,94.12503279971409,56.5670043981189,0.9516396999999999,147.224583162467,-43.6156526678573,3618.4109999999996,911.0969999999993
62,PR_20100604_072323_249_LC16.tif,-485.682015071342,93.926483806287,56.6038376906648,0.97494894,147.224583286048,-43.61565445490721,3619.414,912.0999999999999
63,PR_20100604_072324_253_LC16.tif,-485.79521765960504,93.86371998917092,56.60207223575439,0.9494948000000001,147.224581883618,-43.6156550197401,3620.4179999999997,913.1039999999994
64,PR_20100604_072325_277_LC16.tif,-486.057684501821,93.7708312737282,56.5037135212463,0.948997,147.224578632049,-43.6156558556153,3621.442,914.1279999999997
65,PR_20100604_072326_283_LC16.tif,-486.243450941668,93.59726238260929,56.4833842056697,0.95131296,147.224576330586,-43.6156574177036,3622.448,915.1339999999996
66,PR_20100604_072329_250_LC16.tif,-488.007378453975,93.7983988325587,56.22649689514711,0.91864663,147.22455447892298,-43.6156556062183,3625.415,918.1009999999997
